Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D9_4,LED_RGBA,0606,74.295374,-28.09922,0.0,top
D9_5,LED_RGBA,0606,74.295374,-31.09896,0.0,top
D9_6,LED_RGBA,0606,74.295374,-34.0987,0.0,top
D9_7,LED_RGBA,0606,74.295374,-37.09844,0.0,top
D9_8,LED_RGBA,0606,74.295374,-40.09818,0.0,top
D10_1,LED_RGBA,0606,77.29486,-19.1,0.0,top
D10_2,LED_RGBA,0606,77.29486,-22.09974,0.0,top
D10_3,LED_RGBA,0606,77.29486,-25.09948,0.0,top
D10_4,LED_RGBA,0606,77.29486,-28.09922,0.0,top
D10_5,LED_RGBA,0606,77.29486,-31.09896,0.0,top
D10_6,LED_RGBA,0606,77.29486,-34.0987,0.0,top
D10_7,LED_RGBA,0606,77.29486,-37.09844,0.0,top
D10_8,LED_RGBA,0606,77.29486,-40.09818,0.0,top
D11_1,LED_RGBA,0606,80.294346,-19.1,0.0,top
D11_2,LED_RGBA,0606,80.294346,-22.09974,0.0,top
D11_3,LED_RGBA,0606,80.294346,-25.09948,0.0,top
D11_4,LED_RGBA,0606,80.294346,-28.09922,0.0,top
D11_5,LED_RGBA,0606,80.294346,-31.09896,0.0,top
D11_6,LED_RGBA,0606,80.294346,-34.0987,0.0,top
D11_7,LED_RGBA,0606,80.294346,-37.09844,0.0,top
D11_8,LED_RGBA,0606,80.294346,-40.09818,0.0,top
D12_1,LED_RGBA,0606,83.293832,-19.1,0.0,top
D12_2,LED_RGBA,0606,83.293832,-22.09974,0.0,top
D12_3,LED_RGBA,0606,83.293832,-25.09948,0.0,top
D12_4,LED_RGBA,0606,83.293832,-28.09922,0.0,top
D12_5,LED_RGBA,0606,83.293832,-31.09896,0.0,top
D12_6,LED_RGBA,0606,83.293832,-34.0987,0.0,top
D12_7,LED_RGBA,0606,83.293832,-37.09844,0.0,top
D12_8,LED_RGBA,0606,83.293832,-40.09818,0.0,top
D13_1,LED_RGBA,0606,86.293318,-19.1,0.0,top
D13_2,LED_RGBA,0606,86.293318,-22.09974,0.0,top
D13_3,LED_RGBA,0606,86.293318,-25.09948,0.0,top
D13_4,LED_RGBA,0606,86.293318,-28.09922,0.0,top
D13_5,LED_RGBA,0606,86.293318,-31.09896,0.0,top
D13_6,LED_RGBA,0606,86.293318,-34.0987,0.0,top
D13_7,LED_RGBA,0606,86.293318,-37.09844,0.0,top
D13_8,LED_RGBA,0606,86.293318,-40.09818,0.0,top
D14_1,LED_RGBA,0606,89.292804,-19.1,0.0,top
